ms,Sensor 1 (kg),Sensor 2 (kg),Sensor  3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1692840,0.140854,0.0468836,2.29562,2.57311,0.907367,13.8862,5.05647
1692845,0.140854,0.0468836,2.29562,2.57311,0.907367,13.8862,5.05647
1692855,0.140854,0.234418,4.05057,4.41355,1.29119,13.7264,8.83939
1692865,0.368388,0.290678,7.05527,7.73679,0.976974,13.7204,15.4511
1692881,0.368388,0.290678,7.05527,7.73679,0.976974,13.7204,15.4511
1692888,0.563416,0.534473,9.67883,10.6414,1.08971,13.4622,21.4181
1692905,0.855959,0.768891,11.0083,12.0893,1.00502,13.0283,24.7225
1692917,1.10516,0.993933,12.3113,13.4936,0.959626,12.7432,27.9039
1692932,1.10516,0.993933,12.3113,13.4936,0.959626,12.7432,27.9039
1692936,1.30019,1.31274,13.5344,14.8194,1.04752,12.4686,30.9667
1692952,1.65774,1.63155,14.5182,15.9795,1.06182,12.0794,33.787
1692968,1.65774,1.63155,14.5182,15.9795,1.06182,12.0794,33.787
1692980,1.7986,1.85659,15.121,16.7907,1.2144,11.9169,35.5668
1692986,1.7986,1.85659,15.121,16.7907,1.2144,11.9169,35.5668
1692989,1.91778,1.90347,15.4489,17.213,1.19903,11.8578,36.4831
1693013,1.95029,2.00662,15.4666,17.2614,1.26148,11.7641,36.6849
1693019,1.95029,2.00662,15.4666,17.2614,1.26148,11.7641,36.6849
1693030,1.92862,1.95036,14.3144,16.215,1.39671,11.618,34.4083
1693041,1.92862,1.95036,14.3144,16.215,1.39671,11.618,34.4083
1693050,1.67941,1.76282,13.1799,14.8979,1.4288,11.7238,31.52
1693060,1.67941,1.76282,13.1799,14.8979,1.4288,11.7238,31.52
1693070,1.44105,1.54716,11.5401,13.136,1.53802,11.7595,27.6643
1693080,1.22435,1.12521,9.51929,10.8681,1.37409,11.8999,22.737
1693103,0.953474,0.815775,7.70229,8.81837,1.33732,12.098,18.2899
1693114,0.639261,0.562603,5.9562,6.81221,1.39466,12.4191,13.9703
1693118,0.639261,0.562603,5.9562,6.81221,1.39466,12.4191,13.9703
1693133,0.400892,0.365692,4.40511,5.059,1.51186,12.7521,10.2307
1693143,0.400892,0.365692,4.40511,5.059,1.51186,12.7521,10.2307
1693153,0.249203,0.215665,3.11105,3.60236,1.59428,13.0572,7.17828
1693159,0.162524,0.178158,2.09176,2.42483,1.79476,12.8959,4.85728
1693176,0.162524,0.178158,2.09176,2.42483,1.79476,12.8959,4.85728
1693183,0.108349,0.0750138,1.23201,1.40431,1.23207,13.0491,2.81969
1693193,0.0866794,0,0.593848,0.758851,1.36037,13.1934,1.43938
1693203,0.0866794,0,0.593848,0.758851,1.36037,13.1934,1.43938
1693208,0.130019,0.0375069,0.301356,0.357619,-1.09645,8.91921,0.826501
1693229,0.130019,0.0375069,0.301356,0.357619,-1.09645,8.91921,0.826501
1693234,0,0,0.124088,0.174448,0,0,0.298536
1693242,0.0216699,0,0,0,0,0,0.0216699
1693254,0.0216699,0,0,0,0,0,0.0216699
1693263,0.0433397,0.112521,0,0,0,0,0.15586
1693274,0.0433397,0.112521,0,0,0,0,0.15586
1693283,0.0216699,0.0281302,0,0,0,0,0.0498
1693293,0.0433397,0,0,0,0,0,0.0433397
1693303,0.0433397,0,0,0,0,0,0.0433397
1693313,0,0.0187534,0,0,0,0,0.0187534
1693323,0,0.0281302,0,0,0,0,0.0281302
1693333,0,0.0281302,0,0,0,0,0.0281302
1693343,0.0541746,0,0,0,0,0,0.0541746
1693353,0.0541746,0,0,0,0,0,0.0541746
1693380,0.0216699,0,0,0,0,0,0.0216699
1693387,0.0758445,0,0,0,0,0,0.0758445
1693390,0.0325048,0.0187534,0,0,0,0,0.0512582
1693399,0.0216699,0,0,0,0,0,0.0216699
1693423,0.0216699,0.00937672,0.567258,0.723961,2.73036,14.2956,1.32227
1693433,0.0216699,0.00937672,0.567258,0.723961,2.73036,14.2956,1.32227
1693443,0.0216699,0,1.57769,1.83171,1.69301,14.8105,3.43106
1693453,0,0,2.27789,2.68651,2.05771,15,4.9644
1693469,0,0,2.27789,2.68651,2.05771,15,4.9644
1693472,0,0,2.9072,3.37558,1.86376,15,6.28277
1693482,0.0650096,0,3.82899,4.3961,1.51416,14.7647,8.2901
1693492,0.0650096,0,3.82899,4.3961,1.51416,14.7647,8.2901
1693503,0.0975143,0.0468836,4.94578,5.61724,1.44954,14.5954,10.7074
1693512,0.0975143,0.0468836,4.94578,5.61724,1.44954,14.5954,10.7074
1693522,0.184194,0.187534,6.54119,7.55362,1.75538,14.2291,14.4665
1693532,0.281708,0.300055,8.57977,9.94356,1.8086,14.0865,19.1051
1693548,0.281708,0.300055,8.57977,9.94356,1.8086,14.0865,19.1051
1693555,0.422562,0.412576,10.6538,12.3073,1.72668,13.9471,23.7963
1693562,0.552581,0.646994,12.1429,14.0518,1.82828,13.6863,27.3943
1693585,0.70427,0.834528,12.9849,15.0287,1.8392,13.4379,29.5524
1693603,0.72594,0.909542,13.3837,15.5957,1.9562,13.3974,30.6149
1693615,0.888464,1.10645,13.8446,16.1801,1.99366,13.1309,32.0196
1693624,0.888464,1.10645,13.8446,16.1801,1.99366,13.1309,32.0196
1693635,0.964309,1.19084,14.0662,16.4069,1.967,13.0184,32.6282
1693651,1.00765,1.19084,13.5521,15.9795,2.05683,12.9214,31.7301
1693661,0.964309,1.17209,12.7722,15.0026,2.03786,12.8573,29.9111
1693672,0.964309,1.17209,12.7722,15.0026,2.03786,12.8573,29.9111
1693682,0.931804,1.00331,11.6731,13.7901,1.99698,12.8811,27.3984
1693692,0.6826,0.881412,10.184,12.1939,2.30631,13.0402,23.942
1693702,0.6826,0.881412,10.184,12.1939,2.30631,13.0402,23.942
1693711,0.530911,0.637617,8.37591,10.0831,2.31042,13.2139,19.6276
1693721,0.530911,0.637617,8.37591,10.0831,2.31042,13.2139,19.6276
1693749,0.335883,0.393822,6.40824,7.71934,2.30366,13.5266,14.8573
1693755,0.151689,0.150028,4.40511,5.41662,2.49385,14.1059,10.1235
1693773,0,0.0750138,2.83629,3.51514,2.93266,14.6498,6.42644
1693777,0.0325048,0.0468836,1.63973,2.07594,2.96825,14.3724,3.79505
1693784,0.0325048,0.0468836,1.63973,2.07594,2.96825,14.3724,3.79505
1693796,0.0866794,0.0281302,0.762252,1.02925,2.73361,13.1932,1.90631
1693806,0.0866794,0.0281302,0.762252,1.02925,2.73361,13.1932,1.90631
1693816,0,0.0281302,0.221585,0.32273,5.64573,13.5258,0.572445
1693826,0,0.0750138,0.0531804,0.122114,0,0,0.250308
1693836,0,0.0750138,0.0531804,0.122114,0,0,0.250308
1693847,0.0325048,0,0,0,0,0,0.0325048
1693856,0.0541746,0.103144,0,0,0,0,0.157319
1693866,0.0541746,0.103144,0,0,0,0,0.157319
1693876,0.0866794,0,0,0,0,0,0.0866794
1693884,0.0866794,0,0,0,0,0,0.0866794
1693895,0.0433397,0.0562603,0,0.00872242,0,0,0.108322
1693906,0.0216699,0.0468836,0,0,0,0,0.0685535
1693928,0.0325048,0.0656371,0,0,0,0,0.0981418
1693938,0.0433397,0.0468836,0,0,0,0,0.0902233
1693948,0.0433397,0.0468836,0,0,0,0,0.0902233
1693952,0.0758445,0,0,0,0,0,0.0758445
1693973,0.0650096,0,0,0,0,0,0.0650096
1693989,0.0108349,0,0,0,0,0,0.0108349
1693993,0.0108349,0,0,0,0,0,0.0108349
1694003,0,0.0281302,0,0,0,0,0.0281302
1694013,0,0.0281302,0,0,0,0,0.0281302
1694023,0.0433397,0,0,0,0,0,0.0433397
1694033,0,0.0843905,0,0,0,0,0.0843905
1694043,0,0.0843905,0,0,0,0,0.0843905
